"Id","ParentId","SobjectType","PermissionsRead","PermissionsCreate","PermissionsEdit","PermissionsDelete","PermissionsViewAllRecords","PermissionsModifyAllRecords"
"1104O000009dZ7sQAE","0PS4O000000WuRnWAK","Opportunity","true","false","false","false","true","false"
"1104O000009dZ7xQAE","0PS4O000000WuRnWAK","Product2","true","false","false","false","false","false"
"1104O000009dZ82QAE","0PS4O000000WuRnWAK","RMA__c","true","false","false","false","true","false"
"1104O000009dZ87QAE","0PS4O000000WuRnWAK","Product_Repair__c","true","false","false","false","true","false"
"1104O000009dZ8CQAU","0PS4O000000WuRnWAK","Pricebook2","true","false","false","false","false","false"
"1104O000009dZ8HQAU","0PS4O000000WuRnWAK","Account","true","false","false","false","true","false"
"1104O000009dZ8IQAU","0PS4O000000WuRnWAK","Asset","true","false","false","false","true","false"
"1104O000009dc37QAA","0PS4O000000WuT0WAK","Product2","true","true","true","true","false","false"
"1104O000009oAyQQAU","100U0000000Hb0oIAC","ProcessException","true","true","true","true","true","true"
"1104O000009oAyRQAU","1000B0000009MtsQAE","ProcessException","true","false","false","false","true","false"
"1104O000009oAySQAU","100U0000000Hb0nIAC","ProcessException","false","false","false","false","false","false"
"1104O000009oAyTQAU","100U0000000Hb0pIAC","ProcessException","false","false","false","false","false","false"
"1104O000009oAyUQAU","100U0000000Q6PpIAK","ProcessException","false","false","false","false","false","false"
"1104O000009oCvkQAE","0PS0B000000b6FJWAY","Inventory_Adjustment__c","true","false","false","false","true","false"
"1104O000009oCxRQAU","0PS0B000000b6FJWAY","Commission__c","true","false","false","false","true","false"
"1104O000009oCxTQAU","0PS0B000000icD8WAI","Commission__c","true","true","true","false","true","false"
"1104O000009oCxUQAU","0PS0B000000b7VoWAI","Commission__c","true","true","true","false","true","false"
"1104O000009oCxVQAU","0PS0B000000icMyWAI","Commission__c","true","false","true","false","true","false"
"1104O000009oCxWQAU","0PSU0000000OMREOA4","Commission__c","true","false","false","false","false","false"
"1104O000009oCyeQAE","0PS0B000000b6FJWAY","AVA_MAPPER__Entity_Use_code__c","true","false","false","false","true","false"
"1104O000009oCyfQAE","0PSU0000000ORDhOAO","AVA_MAPPER__Entity_Use_code__c","true","true","true","true","false","false"
"1104O000009oCygQAE","0PSU0000000OMREOA4","AVA_MAPPER__Entity_Use_code__c","true","true","true","true","false","false"
"1104O000009oCyhQAE","0PSU0000000OKzxOAG","AVA_MAPPER__Entity_Use_code__c","true","true","true","true","false","false"
"1104O000009oCyiQAE","0PS4O000000zpipWAA","AVA_MAPPER__Entity_Use_code__c","true","true","true","true","false","false"
"1104O000009oCykQAE","0PS4O000000OaNjWAK","AVA_MAPPER__Entity_Use_code__c","true","true","true","true","false","false"
"1104O000009oCylQAE","0PS0B000000icMyWAI","AVA_MAPPER__Entity_Use_code__c","true","true","true","true","false","false"
"1104O000009oCymQAE","0PS0B000000icDDWAY","AVA_MAPPER__Entity_Use_code__c","true","true","true","true","false","false"
"1104O000009oCynQAE","0PS0B000000icD8WAI","AVA_MAPPER__Entity_Use_code__c","true","true","true","true","false","false"
"1104O000009oCyoQAE","0PS0B000000icD3WAI","AVA_MAPPER__Entity_Use_code__c","true","true","true","true","false","false"
"1104O000009oCypQAE","0PS0B000000icCtWAI","AVA_MAPPER__Entity_Use_code__c","true","true","true","true","false","false"
"1104O000009oCyqQAE","0PS0B000000icB2WAI","AVA_MAPPER__Entity_Use_code__c","true","true","true","true","false","false"
"1104O000009oCyrQAE","0PS0B000000ic4uWAA","AVA_MAPPER__Entity_Use_code__c","true","true","true","true","false","false"
"1104O000009oCysQAE","0PS0B000000b7VoWAI","AVA_MAPPER__Entity_Use_code__c","true","true","true","true","true","true"
"1104O000009oCyuQAE","0PS0B000000b5SRWAY","AVA_MAPPER__Entity_Use_code__c","true","true","true","true","false","false"
"1104O000009oCyvQAE","0PS0B000000b4dnWAA","AVA_MAPPER__Entity_Use_code__c","true","true","true","true","false","false"
"1104O000009oCywQAE","0PS0B000000b4UMWAY","AVA_MAPPER__Entity_Use_code__c","true","true","true","true","false","false"
"1104O000009oCyyQAE","100U0000000Hb0oIAC","Quote","true","true","true","true","true","true"
"1104O000009oCz0QAE","0PSU0000000SUL2OAO","Quote","true","true","true","true","false","false"
"1104O000009oCz1QAE","0PSU0000000SUL4OAO","Quote","true","true","true","true","false","false"
"1104O000009oCz2QAE","0PSU0000000SUL5OAO","Quote","true","true","true","true","false","false"
"1104O000009oCz3QAE","0PSU0000000SUL6OAO","Quote","true","true","true","true","false","false"
"1104O000009oCz8QAE","0PS0B000000b6FJWAY","AVA_SFCLOUD__AvaTaxCompany__c","true","false","false","false","true","false"
